"id","year","status","category","scope","authors","title","venue","volume_issue","pages","doi","contribution_tr","contribution_en","display_order"
"PUB001",2025,"published","peer_reviewed","national","Sarıcı, H","Turkish adaptation of attitude toward poverty scale-short form","Afyon Kocatepe University Journal of Social Sciences","27(4)","1490–1506","10.32709/akusosbil.1675361","","",1
"PUB002",2020,"published","peer_reviewed","national","Sarıcı, H., & Tagay, Ö","Predictive role of childhood trauma and automatic thoughts in university students’ cognitive emotion regulation","Pamukkale University Journal of Education","49","46–66","10.9779/pauefd.540635","","",2
"PUB003",2019,"published","peer_reviewed","international","Sarıcı, H., & Tagay, Ö","Examining university students’ cognitive emotion regulation in terms of demographic variables","Journal of Multidisciplinary Studies in Education","3(3)","23–38","","","",3
"PUB004",2019,"published","peer_reviewed","international","Demirdağ, S., & Sarıcı, H","The investigation of the quality of life of university students: The case of Ereğli Faculty of Education","Karaelmas Journal of Educational Sciences","7","57–73","","","",4
"PUB005",2018,"published","peer_reviewed","national","Bilgin, O., & Sarıcı, H","Examining Turkish Arabesque music in terms of existential therapy concepts","Journal of Research in Education and Teaching","7(3)","201–208","","","",5
"PUB006",,"under_review","under_review","","Sarıcı, H., & Ertem, H. Y","Digital citizenship, empathy, and resilience: A cross-sectional mediation analysis on cyberbullying and cybervictimization among university students","Journal of Interpersonal Violence","","","","","",6
"PUB007",,"under_review","under_review","","Ertem, H. Y., & Sarıcı, H","Digital citizenship, cyberbullying, and cyber victimization among teacher candidates: A mixed-methods needs analysis","Current Psychology","","","","","",7
"PUB008",,"under_review","under_review","","Sarıcı, H., & Erdur-Baker, Ö","Understanding poverty through school stakeholders’ voices: Implications for inclusive education","International Journal of Inclusive Education","","","","","",8
"PUB009",,"under_review","under_review","","Sarıcı, H","Adaptive and maladaptive emotion regulation as serial mediators between procrastination and absenteeism among university students","Journal of College Student Mental Health","","","","","",9
"PUB010",,"under_review","under_review","","Sarıcı, H","Climate Change Awareness and Climate Change Anxiety: Indirect Pathways Through Future Time Perspective, Self-Efficacy, and Resilience","Society & Natural Resources","","","","","",10
"PUB011",,"under_review","under_review","","Sarıcı, H","Psychological Mechanisms Linking Climate Anxiety to Psychological and Behavioural Outcomes: A Systematic Review with Taxonomic Synthesis and Evidence Mapping","Health Psychology Review","","","","","",11
"PUB012",,"under_review","under_review","","Sarıcı, H","Poverty Simulation Interventions and Changes in Attitudes Toward Poverty: A Systematic Review and Meta-Analysis","Current Psychology","","","","","",12
"PUB013",,"under_review","under_review","","Sarıcı, H","Mindfulness-Based Interventions in Athletes: A Systematic Review of Randomized Controlled Trials","Gazi Journal of Physical Education and Sport Sciences","","","","","",13
"PUB014",,"under_review","under_review","","Sarıcı, H","Person–Context Climate Norm Calibration and Climate-Policy Portfolio Support Across 21 Countries: A Benchmark-Referenced Multilevel Study","Energy Research & Social Science","","","","","",14
"PUB015",,"under_review","under_review","","Sarıcı, H","Climate Emotions Across Ten Countries: A Multigroup Ising Network Analysis of Endorsement Thresholds and Conditional Associations","Climatic Change","","","","","",15
"PUB016",,"under_review","under_review","","Sarıcı, H","Beyond a Single Distress Continuum: A Person-Centered Analysis of Climate-Emotion Configurations Among Young People Across 10 Countries","Environmental Communication","","","","","",16
"PUB017",2025,"published","book_chapter","","","Individual Counseling","Nobel Academic Publishing","","","","Kitap bölümü yazarı","Chapter author",17
"PUB018",2024,"published","book_chapter","","","Language Development, in Developmental Psychology: From Prenatal to Adulthood","Nobel Academic Publishing","","","","Kitap bölümü yazarı","Chapter author",18
"PUB019",2023,"published","book","","","Guide for Developing Teachers’ Psychosocial Support Skills After Disasters","Ministry of National Education Publication","","","","Ortak yazar","Co-author",19
"PUB020",2021,"published","book_chapter","","","Adaptation Concept, in Life Stages and Adaptation Problems","Nobel Academic Publishing","","","","Kitap bölümü yazarı","Chapter author",20
