"order","period","course_tr","course_en","language_tr","language_en"
1,"2024–2026","Bireyle Psikolojik Danışma Uygulaması I & II","Counseling Practice with Individuals I & II","Türkçe","Turkish"
2,"2024–2026","Kültüre Duyarlı Psikolojik Danışma","Culturally Responsive Counseling","Türkçe","Turkish"
3,"2024–2026","Okullarda Rehberlik","Guidance in Schools","Türkçe","Turkish"
4,"2024–2026","Spor Psikolojisi","Sport Psychology","Türkçe","Turkish"
5,"2024–2026","Psikolojiye Giriş","Introduction to Psychology","Türkçe","Turkish"
6,"2024–2026","Eğitim Psikolojisi","Education Psychology","Türkçe","Turkish"
7,"2024–2026","Karakter ve Değer Eğitimi","Character and Value Education","Türkçe","Turkish"
8,"2024–2026","Mesleki Rehberlik Uygulamaları","Vocational Guidance Practices","Türkçe","Turkish"
9,"2024–2026","Öğretmenlik Uygulaması","Teaching Practice","Türkçe","Turkish"
10,"2024–2026","Okullarda Rehberlik ve Psikolojik Danışma Uygulamaları I","Guidance and Psychological Counseling Practices in Schools I","Türkçe","Turkish"
11,"2024–2026","Çocuk Psikolojisi","Child Psychology","Türkçe","Turkish"
